Car_Name,Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color,Target
Honda CR-V,14.52,19.2,4,SUV,Electric,Manual,New,Luxury,Blue,Not Recommended
Tata Nexon,28.29,22.9,5,Hatchback,Electric,Automatic,New,Luxury,Silver,Not Recommended
Hyundai Grand i10,23.07,21.8,6,Hatchback,Petrol,Automatic,New,Luxury,Red,Recommended
Hyundai Venue,13.18,12.8,6,Sedan,Diesel,Automatic,Used,Luxury,White,Not Recommended
Maruti Alto,34.28,24.5,5,SUV,Electric,Manual,New,Luxury,Red,Not Recommended
Maruti Dzire,5.33,22.5,7,Sedan,Petrol,Automatic,New,Luxury,Black,Not Recommended
Toyota Glanza,37.19,16.3,6,Hatchback,Diesel,Automatic,Used,Luxury,Silver,Recommended
Hyundai Aura,12.55,12.0,6,Hatchback,Petrol,Manual,Used,Luxury,Red,Not Recommended
Hyundai Creta,8.83,17.5,4,Sedan,Petrol,Automatic,Used,Luxury,Blue,Not Recommended
Tata Nexon,30.4,14.8,6,SUV,Petrol,Manual,Used,Luxury,Black,Recommended
Hyundai Creta,26.56,16.1,5,SUV,Diesel,Manual,Used,Luxury,White,Not Recommended
Tata Altroz,5.73,13.1,7,Sedan,Petrol,Automatic,New,Luxury,Black,Recommended
Honda Jazz,34.21,14.8,6,Sedan,Diesel,Manual,Used,Luxury,White,Not Recommended
Kia Carens,21.17,25.0,5,SUV,Diesel,Manual,New,Luxury,White,Recommended
Tata Safari,42.43,24.1,6,SUV,Petrol,Manual,New,Luxury,White,Not Recommended
Honda Jazz,34.75,22.2,6,Hatchback,Electric,Manual,Used,Luxury,White,Not Recommended
Maruti Brezza,17.31,16.9,4,Hatchback,Diesel,Manual,Used,Luxury,Red,Not Recommended
Maruti WagonR,43.02,24.3,5,Sedan,Diesel,Automatic,Used,Luxury,Black,Recommended
Tata Nexon,16.49,14.3,7,Hatchback,Petrol,Automatic,Used,Luxury,Silver,Recommended
Tata Tigor,25.58,14.1,4,SUV,Electric,Manual,New,Luxury,Red,Not Recommended
Honda Jazz,11.24,21.9,5,Sedan,Diesel,Manual,New,Luxury,White,Not Recommended
Hyundai Verna,33.81,15.3,4,Sedan,Electric,Automatic,New,Luxury,Red,Not Recommended
Tata Safari,10.31,24.8,7,Sedan,Diesel,Automatic,New,Luxury,Blue,Not Recommended
Tata Harrier,5.88,11.7,5,Sedan,Petrol,Manual,New,Luxury,White,Not Recommended
Tata Safari,36.87,19.3,5,Hatchback,Diesel,Automatic,New,Luxury,Black,Not Recommended
Hyundai i20,40.25,24.2,5,Hatchback,Petrol,Manual,New,Luxury,Red,Not Recommended
Toyota Innova,25.5,12.7,5,Hatchback,Diesel,Manual,Used,Luxury,White,Recommended
Hyundai Verna,7.32,15.5,4,SUV,Petrol,Manual,New,Luxury,Black,Recommended
Tata Nexon,9.61,11.0,7,Sedan,Diesel,Manual,New,Luxury,White,Recommended
Maruti Baleno,18.86,15.1,7,Hatchback,Petrol,Manual,Used,Luxury,Silver,Recommended
Mahindra Bolero,35.76,13.3,5,SUV,Petrol,Manual,New,Luxury,Blue,Recommended
Honda WR-V,35.61,18.7,5,Sedan,Diesel,Automatic,Used,Luxury,Blue,Recommended
Maruti Alto,37.98,15.2,5,Hatchback,Petrol,Manual,New,Luxury,Blue,Not Recommended
Maruti WagonR,42.41,22.5,6,Hatchback,Diesel,Automatic,Used,Luxury,White,Not Recommended
Tata Harrier,39.6,16.8,4,Sedan,Petrol,Manual,Used,Luxury,White,Not Recommended
Tata Safari,5.52,13.0,4,Sedan,Electric,Automatic,Used,Luxury,White,Not Recommended
Honda Civic,9.54,14.7,4,Hatchback,Electric,Automatic,Used,Luxury,Silver,Not Recommended
Honda City,4.75,14.0,7,Sedan,Petrol,Manual,Used,Luxury,Blue,Recommended
Honda CR-V,40.44,22.1,5,SUV,Electric,Manual,New,Luxury,Red,Recommended
Kia Carnival,39.79,23.6,6,Hatchback,Electric,Automatic,Used,Luxury,Silver,Recommended
Kia Carnival,33.07,19.9,7,Hatchback,Petrol,Automatic,New,Luxury,Blue,Not Recommended
Tata Tiago,8.16,15.4,7,SUV,Electric,Automatic,Used,Luxury,Black,Recommended
Kia Seltos,39.08,16.0,5,Hatchback,Petrol,Automatic,Used,Luxury,Black,Recommended
Hyundai Elantra,40.7,13.6,7,Sedan,Petrol,Automatic,New,Luxury,Blue,Recommended
Tata Nexon,25.69,17.3,5,Hatchback,Electric,Manual,New,Luxury,Silver,Not Recommended
Honda Amaze,22.47,15.8,6,Hatchback,Electric,Automatic,New,Luxury,White,Recommended
Tata Punch,37.59,22.1,6,Hatchback,Petrol,Automatic,New,Luxury,White,Not Recommended
Hyundai Creta,13.05,14.6,4,Sedan,Petrol,Automatic,New,Luxury,Red,Recommended
Tata Tiago,13.03,17.9,6,SUV,Diesel,Automatic,New,Luxury,Blue,Recommended
Maruti Baleno,9.43,15.1,5,Sedan,Electric,Automatic,New,Luxury,Red,Not Recommended
Tata Safari,5.52,13.0,4,Sedan,Electric,Automatic,Used,Luxury,White,Not Recommended
Kia Carens,17.81,24.3,6,Sedan,Diesel,Automatic,Used,Luxury,Silver,Recommended
Honda Amaze,26.45,17.4,4,Sedan,Petrol,Automatic,New,Luxury,Red,Recommended
Tata Nexon,42.79,20.9,4,Hatchback,Electric,Manual,Used,Luxury,White,Recommended
Kia Seltos,21.98,19.2,7,Sedan,Diesel,Automatic,Used,Luxury,Blue,Not Recommended
Hyundai Verna,32.01,15.1,7,Sedan,Petrol,Manual,Used,Luxury,Blue,Not Recommended
Kia Seltos,39.08,16.0,5,Hatchback,Petrol,Automatic,Used,Luxury,Black,Recommended
Toyota Glanza,42.73,18.1,6,SUV,Petrol,Manual,New,Luxury,Black,Recommended
Honda City,19.28,23.2,5,SUV,Electric,Automatic,New,Luxury,Red,Recommended
Honda WR-V,20.96,21.1,4,SUV,Petrol,Automatic,New,Luxury,Black,Recommended
Kia Seltos,29.59,24.9,6,SUV,Diesel,Automatic,Used,Luxury,Red,Not Recommended
Hyundai Tucson,23.52,10.4,4,Sedan,Petrol,Automatic,Used,Luxury,Black,Not Recommended
Tata Nexon,9.61,11.0,7,Sedan,Diesel,Manual,New,Luxury,White,Recommended
Tata Hexa,33.37,11.1,6,SUV,Electric,Manual,Used,Luxury,Red,Recommended
Tata Punch,13.47,20.3,7,Sedan,Electric,Manual,New,Luxury,Silver,Not Recommended
Toyota Glanza,14.65,12.2,5,Hatchback,Electric,Automatic,New,Luxury,Silver,Recommended
Kia Seltos,34.86,13.6,5,Sedan,Diesel,Automatic,New,Luxury,Silver,Not Recommended
Tata Punch,44.76,15.4,4,SUV,Electric,Manual,Used,Luxury,Black,Not Recommended
Hyundai Aura,38.62,10.1,6,Sedan,Diesel,Manual,Used,Luxury,White,Recommended
Hyundai Elantra,18.77,10.8,4,Hatchback,Electric,Manual,Used,Luxury,Black,Not Recommended
Hyundai Creta,20.15,24.9,4,SUV,Diesel,Manual,New,Luxury,Silver,Not Recommended
Honda City,8.38,21.5,5,SUV,Diesel,Automatic,Used,Luxury,Blue,Recommended
Maruti Baleno,22.19,22.5,5,Sedan,Electric,Automatic,New,Luxury,White,Recommended
Hyundai Verna,40.9,12.2,6,Sedan,Diesel,Automatic,Used,Luxury,White,Recommended
Hyundai Aura,12.55,12.0,6,Hatchback,Petrol,Manual,Used,Luxury,Red,Not Recommended
Honda Jazz,33.96,14.7,5,Hatchback,Petrol,Automatic,New,Luxury,Black,Not Recommended
Tata Nexon,26.41,19.7,4,SUV,Electric,Automatic,New,Luxury,White,Not Recommended
Hyundai Venue,20.09,18.9,6,SUV,Diesel,Manual,New,Luxury,Black,Not Recommended
Tata Altroz,27.9,10.5,4,Hatchback,Petrol,Automatic,Used,Luxury,Black,Not Recommended
Tata Nexon,30.4,14.8,6,SUV,Petrol,Manual,Used,Luxury,Black,Recommended
Mahindra Thar,36.19,14.1,5,Sedan,Petrol,Automatic,New,Luxury,Black,Recommended
Kia Carnival,39.79,23.6,6,Hatchback,Electric,Automatic,Used,Luxury,Silver,Recommended
Honda WR-V,44.88,23.7,7,Hatchback,Petrol,Manual,New,Luxury,Black,Recommended
Tata Hexa,6.76,13.9,7,SUV,Petrol,Manual,Used,Luxury,White,Recommended
Tata Punch,44.76,15.4,4,SUV,Electric,Manual,Used,Luxury,Black,Not Recommended
Hyundai Elantra,42.99,20.6,5,Sedan,Electric,Automatic,Used,Luxury,White,Recommended
Hyundai Tucson,22.4,15.6,6,Sedan,Electric,Automatic,New,Luxury,Silver,Recommended
Hyundai Creta,31.34,14.3,6,SUV,Electric,Automatic,New,Luxury,Red,Not Recommended
Tata Hexa,18.38,20.0,7,Hatchback,Petrol,Automatic,Used,Luxury,Silver,Not Recommended
Mahindra Thar,30.71,21.8,6,Sedan,Petrol,Automatic,Used,Luxury,Red,Not Recommended
Hyundai Verna,36.92,10.1,4,SUV,Diesel,Manual,New,Luxury,Red,Recommended
Toyota Glanza,37.52,14.7,4,SUV,Electric,Automatic,New,Luxury,Red,Not Recommended
Toyota Glanza,21.28,10.8,4,Hatchback,Diesel,Automatic,New,Luxury,Silver,Not Recommended
Kia Seltos,23.98,10.0,6,Hatchback,Electric,Manual,Used,Luxury,White,Not Recommended
Tata Nexon,42.96,10.9,7,Sedan,Electric,Automatic,Used,Luxury,Silver,Recommended
Hyundai i20,43.91,16.9,6,SUV,Electric,Manual,Used,Luxury,Red,Not Recommended
Tata Harrier,25.02,17.8,4,SUV,Diesel,Automatic,New,Luxury,White,Not Recommended
Hyundai Aura,31.07,13.7,4,SUV,Petrol,Manual,Used,Luxury,Red,Recommended
Hyundai Aura,10.82,19.5,5,Hatchback,Diesel,Manual,Used,Luxury,Blue,Recommended
Tata Altroz,11.44,21.3,7,Hatchback,Electric,Automatic,Used,Luxury,Blue,Not Recommended
Honda Civic,28.05,16.1,4,SUV,Diesel,Manual,New,Luxury,Silver,Recommended
Tata Harrier,12.69,24.3,6,SUV,Electric,Automatic,Used,Luxury,Red,Not Recommended
Kia Carens,38.9,11.2,6,Hatchback,Petrol,Automatic,New,Luxury,Black,Recommended
Tata Tigor,5.28,22.8,6,Hatchback,Petrol,Automatic,Used,Luxury,Black,Not Recommended
Maruti Brezza,5.62,19.8,5,SUV,Petrol,Automatic,Used,Luxury,Blue,Not Recommended
Kia Carens,32.27,17.7,4,Hatchback,Petrol,Manual,Used,Luxury,White,Recommended
Hyundai Elantra,5.48,13.1,4,Hatchback,Petrol,Automatic,Used,Luxury,White,Not Recommended
Maruti Swift,12.82,20.1,5,SUV,Petrol,Manual,Used,Luxury,Black,Not Recommended
Kia Seltos,44.64,22.3,4,Hatchback,Electric,Automatic,New,Luxury,Black,Recommended
Maruti Brezza,26.14,10.9,4,Hatchback,Electric,Manual,New,Luxury,Red,Recommended
Honda City,23.35,16.9,6,Sedan,Electric,Automatic,Used,Luxury,Blue,Not Recommended
Hyundai Venue,14.99,23.1,6,Hatchback,Diesel,Automatic,New,Luxury,White,Recommended
Kia Seltos,15.06,17.3,4,SUV,Petrol,Manual,New,Luxury,Red,Not Recommended
Hyundai Aura,18.54,12.5,7,SUV,Diesel,Automatic,Used,Luxury,Black,Recommended
Toyota Glanza,24.32,11.2,7,Hatchback,Diesel,Manual,Used,Luxury,Black,Not Recommended
Honda WR-V,39.82,10.9,4,SUV,Electric,Automatic,New,Luxury,Silver,Recommended
Tata Hexa,11.04,20.1,6,Hatchback,Diesel,Automatic,New,Luxury,Red,Recommended
Honda Civic,28.05,16.1,4,SUV,Diesel,Manual,New,Luxury,Silver,Recommended
Toyota Innova,26.72,15.0,5,Hatchback,Electric,Automatic,New,Luxury,Blue,Recommended
Hyundai Venue,31.74,19.4,6,SUV,Diesel,Manual,New,Luxury,Silver,Recommended
Hyundai Aura,32.8,15.4,5,Hatchback,Diesel,Manual,New,Luxury,Blue,Not Recommended
Tata Tigor,25.97,20.3,6,Hatchback,Electric,Automatic,New,Luxury,Red,Recommended
Maruti Alto,36.59,24.4,5,Hatchback,Petrol,Automatic,Used,Luxury,White,Not Recommended
Honda Civic,7.01,12.5,6,SUV,Petrol,Automatic,New,Luxury,White,Recommended
Tata Altroz,27.9,10.5,4,Hatchback,Petrol,Automatic,Used,Luxury,Black,Not Recommended
Hyundai Elantra,4.24,12.2,6,Sedan,Electric,Automatic,Used,Luxury,Blue,Recommended
Toyota Glanza,24.38,14.1,6,Hatchback,Petrol,Manual,Used,Luxury,Blue,Not Recommended
Hyundai Verna,6.73,24.3,5,Sedan,Electric,Automatic,Used,Luxury,Blue,Not Recommended
Hyundai Verna,18.73,16.7,7,Hatchback,Petrol,Automatic,New,Luxury,White,Recommended
Honda Jazz,15.77,14.9,5,SUV,Diesel,Automatic,New,Luxury,Black,Not Recommended
Maruti Dzire,39.03,20.4,6,Sedan,Electric,Automatic,New,Luxury,White,Not Recommended
Kia Carens,20.28,13.1,7,Sedan,Electric,Manual,New,Luxury,Silver,Recommended
Tata Hexa,5.64,10.2,6,SUV,Petrol,Automatic,New,Luxury,Red,Not Recommended
Tata Punch,35.2,20.4,7,Sedan,Electric,Manual,New,Luxury,Silver,Recommended
Toyota Innova,11.23,21.2,7,Sedan,Petrol,Automatic,Used,Luxury,Silver,Not Recommended
Honda WR-V,39.61,21.9,4,Hatchback,Petrol,Automatic,New,Luxury,White,Not Recommended
Maruti Baleno,32.29,24.5,5,Hatchback,Diesel,Manual,Used,Luxury,Blue,Recommended
Maruti Brezza,14.53,14.2,5,Hatchback,Electric,Automatic,New,Luxury,Black,Not Recommended
Toyota Glanza,23.74,23.6,5,Sedan,Electric,Automatic,New,Luxury,Blue,Recommended
Tata Safari,39.7,17.1,7,SUV,Electric,Manual,Used,Luxury,White,Not Recommended
Mahindra Thar,34.06,18.7,7,Sedan,Electric,Automatic,New,Luxury,Black,Recommended
Maruti Dzire,16.15,21.4,4,Hatchback,Diesel,Automatic,New,Luxury,Black,Not Recommended
Tata Hexa,6.76,13.9,7,SUV,Petrol,Manual,Used,Luxury,White,Recommended
Kia Sonet,4.45,17.8,4,Sedan,Diesel,Automatic,Used,Luxury,White,Recommended
Honda Civic,5.04,21.0,5,Hatchback,Electric,Manual,New,Luxury,White,Recommended
Maruti WagonR,29.96,11.0,7,Sedan,Diesel,Automatic,Used,Luxury,Black,Recommended
Maruti Swift,5.71,16.6,5,SUV,Petrol,Manual,Used,Luxury,White,Not Recommended
Toyota Fortuner,35.54,10.2,4,SUV,Electric,Automatic,Used,Luxury,Black,Not Recommended
Maruti WagonR,22.54,10.5,4,Hatchback,Petrol,Automatic,New,Luxury,Blue,Not Recommended
Tata Punch,21.47,24.4,4,Hatchback,Diesel,Manual,Used,Luxury,Silver,Recommended
Kia Sonet,10.89,23.6,5,SUV,Petrol,Manual,New,Luxury,White,Recommended
Maruti Swift,40.82,17.2,4,Hatchback,Petrol,Manual,Used,Luxury,Silver,Not Recommended
Honda City,24.35,23.1,4,Sedan,Diesel,Automatic,New,Luxury,Blue,Recommended
Hyundai Elantra,16.93,16.5,4,Hatchback,Petrol,Manual,Used,Luxury,Blue,Recommended
Tata Tiago,41.75,19.0,5,SUV,Diesel,Manual,Used,Luxury,White,Not Recommended
Mahindra Thar,27.26,22.7,6,Sedan,Electric,Manual,New,Luxury,Blue,Recommended
Hyundai Creta,44.92,22.7,7,Hatchback,Petrol,Automatic,Used,Luxury,Red,Recommended
Mahindra Thar,25.88,16.6,4,Hatchback,Diesel,Manual,New,Luxury,Black,Not Recommended
Hyundai Verna,43.83,19.8,5,Sedan,Diesel,Automatic,Used,Luxury,Blue,Not Recommended
Maruti Dzire,14.44,16.7,4,Sedan,Diesel,Manual,New,Luxury,White,Recommended
Hyundai Tucson,11.19,19.0,4,Sedan,Diesel,Manual,Used,Luxury,Silver,Not Recommended
Maruti Alto,36.01,15.2,7,SUV,Electric,Manual,Used,Luxury,White,Not Recommended
Hyundai Venue,19.3,13.0,7,SUV,Petrol,Automatic,New,Luxury,Red,Not Recommended
Honda Civic,4.73,23.2,5,Hatchback,Electric,Manual,New,Luxury,White,Not Recommended
Mahindra Scorpio,5.72,20.9,5,Sedan,Electric,Automatic,Used,Luxury,Blue,Recommended
Kia Carnival,32.55,15.2,7,Hatchback,Electric,Automatic,New,Luxury,Blue,Not Recommended
Honda WR-V,44.88,23.7,7,Hatchback,Petrol,Manual,New,Luxury,Black,Recommended
Tata Tigor,29.25,20.8,5,SUV,Petrol,Manual,Used,Luxury,Black,Not Recommended
Honda CR-V,35.59,23.8,7,SUV,Diesel,Automatic,Used,Luxury,White,Not Recommended
Mahindra Scorpio,9.59,19.4,7,SUV,Electric,Automatic,New,Luxury,Silver,Not Recommended
Maruti Alto,34.28,24.5,5,SUV,Electric,Manual,New,Luxury,Red,Not Recommended
Kia Carens,32.27,17.7,4,Hatchback,Petrol,Manual,Used,Luxury,White,Recommended
Honda Amaze,11.46,12.5,4,SUV,Petrol,Automatic,Used,Luxury,Blue,Recommended
Mahindra Bolero,23.97,16.2,4,Sedan,Petrol,Automatic,Used,Luxury,Black,Recommended
Hyundai Elantra,25.14,23.2,5,SUV,Electric,Automatic,New,Luxury,Red,Not Recommended
Tata Safari,5.52,13.0,4,Sedan,Electric,Automatic,Used,Luxury,White,Not Recommended
Tata Tiago,7.96,17.4,7,SUV,Electric,Automatic,Used,Luxury,Silver,Recommended
Tata Safari,41.27,18.4,5,SUV,Electric,Manual,New,Luxury,Blue,Recommended
Honda Amaze,20.48,16.2,6,SUV,Petrol,Automatic,Used,Luxury,White,Recommended
Tata Harrier,25.0,18.5,7,SUV,Electric,Automatic,New,Luxury,White,Not Recommended
Hyundai Aura,43.17,16.9,7,SUV,Electric,Automatic,New,Luxury,Black,Not Recommended
Tata Hexa,15.24,19.0,7,Sedan,Petrol,Manual,New,Luxury,Blue,Recommended
Toyota Glanza,11.13,14.8,7,Hatchback,Petrol,Automatic,Used,Luxury,Silver,Recommended
Hyundai Venue,5.7,21.3,5,Hatchback,Electric,Automatic,New,Luxury,Red,Not Recommended
Tata Nexon,32.38,16.7,4,Hatchback,Diesel,Automatic,Used,Luxury,White,Recommended
Hyundai Grand i10,37.05,11.2,6,Sedan,Electric,Manual,New,Luxury,Black,Recommended
Tata Tigor,4.5,12.9,5,Hatchback,Diesel,Manual,New,Luxury,Silver,Recommended
Honda City,25.53,21.5,6,Hatchback,Electric,Manual,New,Luxury,Red,Recommended
Maruti Swift,31.37,23.0,6,Sedan,Diesel,Automatic,New,Luxury,Blue,Recommended
Kia Carens,32.38,16.0,7,SUV,Petrol,Automatic,Used,Luxury,Red,Recommended
Honda Civic,20.79,15.5,6,SUV,Electric,Manual,Used,Luxury,Black,Recommended
Maruti Dzire,20.28,13.2,5,Hatchback,Petrol,Automatic,Used,Luxury,Black,Recommended
Hyundai i20,26.53,21.6,5,Sedan,Petrol,Automatic,New,Luxury,White,Not Recommended
Kia Seltos,28.6,13.6,7,Hatchback,Diesel,Manual,Used,Luxury,White,Recommended
Maruti Baleno,10.0,17.0,5,Hatchback,Electric,Automatic,New,Luxury,Blue,Recommended
Hyundai Creta,16.07,23.3,7,SUV,Diesel,Automatic,New,Luxury,Red,Recommended
Toyota Glanza,20.03,22.9,7,SUV,Electric,Automatic,Used,Luxury,Blue,Recommended
Hyundai Creta,13.05,14.6,4,Sedan,Petrol,Automatic,New,Luxury,Red,Recommended
Toyota Glanza,23.74,23.6,5,Sedan,Electric,Automatic,New,Luxury,Blue,Recommended
Tata Harrier,39.6,16.8,4,Sedan,Petrol,Manual,Used,Luxury,White,Not Recommended
Toyota Glanza,30.18,17.0,4,Hatchback,Petrol,Automatic,New,Luxury,Black,Not Recommended
Honda Amaze,6.96,11.8,5,Sedan,Electric,Automatic,New,Luxury,White,Not Recommended
Honda WR-V,35.61,18.7,5,Sedan,Diesel,Automatic,Used,Luxury,Blue,Recommended
Hyundai Creta,12.84,17.3,4,SUV,Electric,Automatic,New,Luxury,White,Recommended
Mahindra Bolero,30.7,23.2,7,Sedan,Electric,Automatic,Used,Luxury,Blue,Recommended
Maruti Swift,19.41,17.5,5,SUV,Electric,Manual,New,Luxury,White,Not Recommended
Honda City,24.35,23.1,4,Sedan,Diesel,Automatic,New,Luxury,Blue,Recommended
Maruti Alto,8.33,22.1,6,Sedan,Diesel,Automatic,New,Luxury,Blue,Recommended
Maruti Alto,10.4,18.1,4,Hatchback,Electric,Manual,New,Luxury,Silver,Not Recommended
Honda Jazz,24.03,21.1,4,SUV,Petrol,Automatic,Used,Luxury,Blue,Recommended
Honda Jazz,14.06,22.6,4,Hatchback,Diesel,Manual,New,Luxury,White,Not Recommended
Mahindra Scorpio,16.93,13.8,5,SUV,Diesel,Manual,Used,Luxury,Blue,Recommended
Tata Harrier,40.68,19.3,5,Sedan,Diesel,Manual,Used,Luxury,Red,Not Recommended
Hyundai Elantra,40.9,17.5,5,SUV,Petrol,Automatic,Used,Luxury,Black,Recommended
Mahindra Bolero,30.7,23.2,7,Sedan,Electric,Automatic,Used,Luxury,Blue,Recommended
Tata Safari,41.27,18.4,5,SUV,Electric,Manual,New,Luxury,Blue,Recommended
Maruti Brezza,12.74,23.5,5,SUV,Diesel,Manual,Used,Luxury,Red,Recommended
Kia Carnival,32.01,20.8,7,SUV,Diesel,Automatic,Used,Luxury,Blue,Recommended
Mahindra Thar,32.21,10.7,6,Hatchback,Diesel,Manual,New,Luxury,Red,Recommended
Tata Tiago,39.56,22.4,7,Hatchback,Diesel,Automatic,New,Luxury,White,Recommended
