Car_Name,Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color
Tata Altroz,9.53,22.7,4,Hatchback,Petrol,Manual,Excellent,Sporty,Black
Mahindra Bolero,24.88,22.1,7,MUV,Hybrid,Automatic,Excellent,Family,Red
Toyota Innova,19.8,13.4,7,MUV,Petrol,Manual,Excellent,Luxury,Blue
Tata Altroz,9.3,14.2,5,Hatchback,Petrol,Automatic,Used,Luxury,Black
Toyota Innova,19.13,15.1,7,MUV,Diesel,Manual,Excellent,Family,Grey
Tata Harrier,32.14,21.8,4,SUV,Diesel,Automatic,Used,Luxury,Silver
Kia Sonet,15.69,15.4,4,Sedan,Hybrid,Manual,New,Luxury,Blue
Tata Nexon,21.46,12.1,5,SUV,CNG,Manual,Used,Sporty,Blue
Mahindra Bolero,20.5,15.0,7,MUV,Petrol,Manual,Used,Sporty,White
Maruti Swift,5.12,14.9,4,Hatchback,Petrol,Manual,Excellent,Sporty,Grey
Maruti Baleno,5.53,23.4,4,Hatchback,CNG,Manual,Used,Sporty,White
Kia Seltos,31.57,17.8,4,SUV,Electric,Manual,New,Sporty,Grey
Toyota Fortuner,17.05,15.0,5,SUV,Hybrid,Manual,Excellent,Family,Grey
Toyota Fortuner,23.26,22.6,4,SUV,Hybrid,Manual,New,Sporty,Silver
Hyundai Venue,17.11,23.7,5,SUV,CNG,Automatic,Excellent,Sporty,Silver
Renault Kiger,21.58,12.4,4,SUV,CNG,Manual,Excellent,Family,Silver
Honda City,10.21,22.2,4,Sedan,Petrol,Automatic,Excellent,Luxury,Black
Maruti Ertiga,15.07,19.2,7,MUV,Electric,Automatic,Used,Luxury,White
Toyota Innova,27.84,14.5,7,MUV,Hybrid,Manual,Excellent,Family,Black
Hyundai Creta,13.64,15.1,4,SUV,Hybrid,Automatic,Used,Sporty,Silver
Renault Triber,21.18,12.1,7,MUV,Petrol,Automatic,New,Luxury,Silver
Renault Kiger,28.12,14.0,4,SUV,Hybrid,Automatic,Excellent,Sporty,Red
Renault Triber,12.86,17.6,7,MUV,Petrol,Manual,Used,Family,Grey
Tata Harrier,25.65,22.5,4,SUV,CNG,Manual,New,Luxury,Silver
Kia Sonet,11.83,16.5,5,Sedan,Petrol,Manual,Excellent,Luxury,White
Honda Amaze,14.35,19.3,4,Sedan,Diesel,Automatic,Used,Luxury,White
Kia Seltos,15.08,20.7,4,SUV,Electric,Manual,New,Luxury,Grey
Maruti Ertiga,20.82,20.0,7,MUV,Hybrid,Automatic,Excellent,Family,Silver
Toyota Fortuner,13.04,13.6,5,SUV,Electric,Automatic,Used,Sporty,Blue
Toyota Innova,16.69,14.9,7,MUV,CNG,Automatic,Excellent,Family,Grey
Tata Altroz,4.02,12.7,4,Hatchback,Petrol,Manual,Excellent,Luxury,Blue
Mahindra Scorpio,30.48,14.3,5,SUV,CNG,Manual,Used,Sporty,White
Mahindra Scorpio,34.31,14.6,4,SUV,Hybrid,Automatic,Excellent,Sporty,Red
Tata Nexon,19.36,14.9,4,SUV,Electric,Automatic,New,Sporty,Grey
Toyota Fortuner,24.59,14.6,5,SUV,Petrol,Manual,Excellent,Family,Grey
Toyota Glanza,23.35,18.9,5,MUV,Electric,Automatic,New,Family,Grey
Honda Amaze,16.61,23.1,5,Sedan,Electric,Manual,New,Sporty,Silver
Hyundai Venue,19.71,20.6,4,SUV,Petrol,Automatic,Used,Luxury,Silver
Renault Triber,20.85,14.3,7,MUV,CNG,Manual,New,Luxury,Black
Maruti Swift,6.23,13.9,5,Hatchback,Diesel,Manual,Used,Luxury,White
Toyota Fortuner,33.49,13.4,5,SUV,Electric,Automatic,New,Sporty,White
Honda Jazz,5.45,17.8,4,Hatchback,Diesel,Manual,Excellent,Sporty,Black
Honda City,15.93,20.1,5,Sedan,Hybrid,Manual,Excellent,Luxury,Black
Tata Punch,26.84,19.8,4,SUV,Electric,Automatic,Excellent,Luxury,Red
Maruti Baleno,9.29,14.7,4,Hatchback,Electric,Manual,New,Sporty,Silver
Mahindra XUV700,22.26,14.8,5,SUV,Electric,Automatic,Used,Sporty,White
Renault Triber,15.86,22.4,7,MUV,Petrol,Manual,Used,Luxury,Grey
Mahindra XUV700,33.66,14.8,4,SUV,Electric,Automatic,Used,Luxury,Silver
Kia Sonet,14.3,13.3,4,MUV,Hybrid,Automatic,Used,Luxury,White
Mahindra Scorpio,15.79,15.9,4,SUV,CNG,Manual,Excellent,Sporty,Blue
Hyundai Creta,17.28,19.9,4,SUV,Electric,Manual,Used,Sporty,Grey
Honda Amaze,10.8,19.3,5,Sedan,Petrol,Automatic,Excellent,Family,Grey
Toyota Glanza,8.96,13.6,4,Sedan,Petrol,Automatic,Used,Family,Silver
Maruti Baleno,4.7,16.8,5,Hatchback,Diesel,Automatic,Used,Luxury,Grey
Mahindra Scorpio,29.82,18.4,4,SUV,Electric,Automatic,Excellent,Luxury,Grey
Maruti Dzire,12.67,22.3,5,Sedan,CNG,Automatic,Used,Luxury,Silver
Honda City,15.63,17.1,5,Sedan,CNG,Manual,New,Family,Silver
Maruti Ertiga,27.74,13.5,7,MUV,CNG,Manual,New,Family,Blue
Toyota Glanza,33.61,16.2,4,SUV,Petrol,Automatic,Used,Luxury,White
Hyundai Verna,14.37,22.1,5,Sedan,Hybrid,Manual,Excellent,Sporty,Silver
Mahindra Bolero,11.19,15.6,7,MUV,Petrol,Automatic,New,Sporty,Grey
Kia Sonet,17.28,23.4,4,MUV,CNG,Manual,Excellent,Luxury,Grey
Mahindra Bolero,14.44,18.0,7,MUV,Electric,Automatic,Excellent,Sporty,Red
Honda Amaze,8.79,14.4,5,Sedan,Hybrid,Automatic,New,Sporty,Silver
Mahindra Bolero,22.27,21.8,7,MUV,Hybrid,Automatic,Used,Sporty,Black
Maruti Ertiga,29.59,13.3,7,MUV,CNG,Manual,New,Family,White
Maruti Baleno,5.02,18.3,4,Hatchback,Hybrid,Automatic,New,Family,Black
Maruti Dzire,12.59,21.1,5,Sedan,Diesel,Automatic,Used,Sporty,Blue
Mahindra Bolero,26.65,18.8,7,MUV,Hybrid,Manual,Excellent,Sporty,Blue
Hyundai Creta,18.71,23.5,4,SUV,Petrol,Automatic,Excellent,Sporty,Red
Kia Sonet,12.64,23.7,5,SUV,Diesel,Automatic,Used,Family,Blue
Toyota Innova,16.25,21.6,7,MUV,Petrol,Automatic,Excellent,Sporty,Blue
Honda City,9.5,17.1,5,Sedan,Electric,Automatic,Excellent,Family,White
Renault Kiger,23.45,20.1,4,SUV,CNG,Manual,New,Family,Blue
Renault Kiger,15.2,19.4,5,SUV,Petrol,Manual,Used,Luxury,Black
Maruti Baleno,8.92,22.9,4,Hatchback,CNG,Manual,Used,Sporty,Silver
Kia Seltos,18.0,16.4,4,SUV,CNG,Automatic,Used,Sporty,Blue
Hyundai i20,6.27,12.7,5,Hatchback,Petrol,Manual,Used,Family,Silver
Toyota Innova,21.73,23.9,7,MUV,Petrol,Automatic,Excellent,Sporty,Black
Honda Amaze,8.14,12.3,5,Sedan,Hybrid,Manual,Excellent,Family,Grey
Hyundai Venue,21.83,19.9,4,SUV,CNG,Automatic,Used,Family,White
Renault Kiger,12.39,22.1,5,SUV,CNG,Automatic,Excellent,Sporty,Silver
Toyota Innova,15.64,21.7,7,MUV,Hybrid,Automatic,Excellent,Family,White
Toyota Glanza,17.24,16.9,4,SUV,Hybrid,Manual,Excellent,Family,Black
Maruti Swift,5.2,13.2,4,Hatchback,Petrol,Manual,New,Family,Silver
Mahindra XUV700,11.58,20.1,5,SUV,Hybrid,Manual,Excellent,Sporty,Blue
Tata Altroz,6.97,21.1,4,Hatchback,CNG,Manual,Excellent,Luxury,Blue
Honda City,17.18,17.3,5,Sedan,Diesel,Automatic,New,Luxury,White
Tata Punch,22.16,13.3,5,MUV,Electric,Manual,Used,Luxury,Black
Tata Harrier,25.36,19.6,4,SUV,Electric,Automatic,Used,Family,White
Maruti Swift,6.07,22.3,5,Hatchback,Electric,Automatic,New,Family,Blue
Hyundai Venue,17.68,15.4,4,SUV,Electric,Manual,Excellent,Luxury,Black
Honda Jazz,5.44,21.9,4,Hatchback,CNG,Automatic,New,Sporty,Red
Tata Nexon,33.7,17.2,5,SUV,Petrol,Manual,New,Luxury,Black
Toyota Glanza,27.32,20.6,5,MUV,Electric,Automatic,Used,Sporty,Black
Mahindra XUV700,30.34,19.1,5,SUV,Diesel,Manual,New,Family,Silver
Hyundai Verna,8.72,22.9,5,Sedan,Electric,Manual,Used,Family,Silver
Toyota Glanza,26.46,12.4,5,SUV,Diesel,Manual,Excellent,Sporty,Blue
Tata Harrier,13.04,19.9,4,SUV,Diesel,Automatic,Used,Sporty,Blue
Honda Amaze,13.22,22.9,4,Sedan,CNG,Manual,Used,Sporty,Red
Honda City,10.94,15.3,4,Sedan,Diesel,Automatic,Excellent,Sporty,Blue
Hyundai Verna,15.03,19.4,5,Sedan,Diesel,Manual,New,Sporty,Grey
Hyundai i20,9.41,20.6,5,Hatchback,Diesel,Automatic,Used,Luxury,Blue
Renault Kiger,23.72,13.2,4,SUV,Electric,Automatic,Excellent,Family,Silver
Maruti Baleno,5.62,15.5,5,Hatchback,Petrol,Manual,New,Family,Silver
Tata Altroz,9.88,14.7,4,Hatchback,Petrol,Manual,New,Luxury,Red
Mahindra XUV700,21.66,17.8,4,SUV,Petrol,Automatic,Excellent,Sporty,Blue
Mahindra Scorpio,13.66,23.5,5,SUV,Hybrid,Manual,Excellent,Sporty,Blue
Mahindra Scorpio,33.51,18.2,5,SUV,CNG,Automatic,Used,Sporty,Blue
Mahindra Scorpio,32.09,16.0,5,SUV,Electric,Manual,Used,Luxury,Blue
Toyota Innova,24.69,21.4,7,MUV,Hybrid,Automatic,Excellent,Family,Grey
Kia Seltos,20.17,15.2,5,SUV,Diesel,Automatic,Used,Family,Silver
Kia Sonet,9.99,16.9,4,Sedan,Diesel,Automatic,New,Sporty,Blue
Kia Seltos,24.65,16.1,4,SUV,Electric,Manual,Excellent,Luxury,Grey
Maruti Dzire,13.14,16.7,4,Sedan,Electric,Automatic,New,Sporty,Grey
Toyota Glanza,16.38,22.3,5,Sedan,Electric,Automatic,Used,Sporty,White
Maruti Dzire,16.0,22.7,5,Sedan,Petrol,Automatic,New,Sporty,Silver
Kia Seltos,23.87,15.4,4,SUV,Electric,Automatic,New,Sporty,Silver
Renault Kiger,19.02,18.2,4,SUV,Petrol,Manual,New,Luxury,Blue
Toyota Innova,14.29,18.4,7,MUV,Diesel,Automatic,Excellent,Luxury,Red
Kia Seltos,30.96,22.1,4,SUV,Electric,Automatic,Excellent,Luxury,Silver
Kia Sonet,20.76,21.6,5,SUV,CNG,Automatic,Used,Sporty,Red
Honda Amaze,12.38,12.8,4,Sedan,Petrol,Manual,New,Family,Grey
Kia Sonet,22.35,21.3,5,MUV,CNG,Automatic,New,Family,Black
Maruti Dzire,17.52,14.5,4,Sedan,Petrol,Manual,Used,Family,Silver
Mahindra XUV700,16.05,17.3,5,SUV,CNG,Automatic,Excellent,Luxury,Grey
Hyundai Venue,31.95,22.4,5,SUV,Hybrid,Manual,Excellent,Family,Black
Mahindra Scorpio,24.02,18.2,5,SUV,Petrol,Manual,Excellent,Family,Red
Kia Seltos,18.09,17.0,5,SUV,Petrol,Automatic,Excellent,Luxury,White
Toyota Glanza,30.88,21.6,5,SUV,Electric,Manual,New,Family,White
Hyundai Verna,15.59,21.2,5,Sedan,Hybrid,Automatic,New,Sporty,Grey
Kia Seltos,13.99,20.6,4,SUV,Petrol,Automatic,New,Sporty,White
Kia Sonet,8.73,13.3,4,Hatchback,Petrol,Automatic,Excellent,Sporty,Grey
Maruti Ertiga,20.51,21.9,7,MUV,Hybrid,Manual,New,Luxury,White
Kia Seltos,25.13,12.1,5,SUV,Electric,Manual,New,Luxury,Blue
Kia Seltos,24.58,16.0,4,SUV,Diesel,Automatic,Used,Sporty,White
Hyundai Venue,23.84,14.8,5,SUV,Electric,Automatic,Used,Luxury,Grey
Mahindra XUV700,16.02,12.7,5,SUV,Hybrid,Manual,Used,Luxury,Blue
Honda City,8.92,22.3,4,Sedan,Diesel,Manual,New,Luxury,Black
Toyota Glanza,9.45,22.2,5,Hatchback,Petrol,Manual,New,Sporty,Blue
Honda City,17.69,17.1,5,Sedan,Electric,Manual,Excellent,Luxury,Silver
Tata Nexon,14.28,15.1,5,SUV,Electric,Manual,New,Family,Blue
Mahindra XUV700,23.27,22.6,4,SUV,Diesel,Manual,New,Sporty,Red
Toyota Fortuner,12.13,17.5,4,SUV,CNG,Manual,Excellent,Sporty,White
Tata Harrier,25.75,23.2,5,SUV,Hybrid,Manual,Used,Family,Silver
Toyota Glanza,17.11,16.0,5,Sedan,Hybrid,Manual,New,Luxury,Silver
Toyota Innova,28.24,13.5,7,MUV,Diesel,Automatic,Excellent,Sporty,Grey
Hyundai Verna,17.37,20.4,5,Sedan,Petrol,Automatic,New,Sporty,Grey
Mahindra XUV700,32.18,23.1,4,SUV,Hybrid,Manual,Excellent,Luxury,Blue
Hyundai Venue,30.91,18.2,5,SUV,Hybrid,Manual,Used,Family,Black
Toyota Innova,19.16,13.5,7,MUV,Diesel,Manual,Excellent,Family,Silver
Maruti Baleno,5.09,21.7,5,Hatchback,Petrol,Automatic,Used,Sporty,Black
Mahindra XUV700,23.37,17.8,5,SUV,Hybrid,Automatic,New,Luxury,Red
Hyundai Verna,13.87,20.8,5,Sedan,Diesel,Automatic,Excellent,Luxury,Red
Maruti Dzire,9.89,18.5,4,Sedan,Electric,Automatic,New,Family,Silver
Kia Seltos,24.43,13.6,4,SUV,Diesel,Automatic,Excellent,Sporty,White
Toyota Glanza,4.72,23.2,4,Hatchback,Electric,Manual,Used,Luxury,Black
Toyota Glanza,9.44,19.7,5,Hatchback,Hybrid,Automatic,New,Family,Silver
Mahindra XUV700,29.49,17.9,5,SUV,Electric,Automatic,New,Luxury,Black
Tata Altroz,7.56,17.8,4,Hatchback,CNG,Manual,Used,Family,Red
Renault Triber,13.96,22.1,7,MUV,Diesel,Automatic,Excellent,Family,Silver
Renault Triber,28.92,14.7,7,MUV,CNG,Automatic,Excellent,Family,Blue
Toyota Glanza,6.8,17.2,4,Hatchback,CNG,Manual,New,Luxury,Grey
Hyundai Venue,21.54,14.0,5,SUV,Electric,Manual,Used,Sporty,Black
Tata Punch,4.39,12.9,4,Hatchback,Diesel,Automatic,Excellent,Luxury,Blue
Mahindra XUV700,33.33,18.9,4,SUV,CNG,Manual,Excellent,Luxury,Red
Toyota Glanza,6.13,22.8,5,Hatchback,CNG,Manual,Used,Family,Grey
Maruti Dzire,15.77,12.4,5,Sedan,CNG,Manual,New,Sporty,Red
Honda Amaze,12.95,16.1,5,Sedan,Diesel,Automatic,New,Sporty,Silver
Tata Punch,17.25,23.4,4,Sedan,Electric,Manual,New,Luxury,Silver
Hyundai Verna,12.78,20.0,4,Sedan,CNG,Manual,Excellent,Family,Grey
Honda City,11.62,19.6,5,Sedan,Electric,Manual,New,Luxury,White
Kia Seltos,15.12,15.2,4,SUV,Electric,Manual,New,Sporty,Grey
Toyota Innova,10.08,17.9,7,MUV,Hybrid,Manual,Excellent,Luxury,White
Renault Kiger,22.47,20.9,5,SUV,Petrol,Manual,Used,Sporty,Blue
Renault Kiger,27.79,16.3,4,SUV,Hybrid,Automatic,New,Sporty,Blue
Renault Kiger,19.08,13.6,4,SUV,Electric,Manual,New,Family,Grey
Honda Jazz,5.88,12.0,4,Hatchback,CNG,Automatic,New,Sporty,Red
Hyundai i20,8.33,20.0,5,Hatchback,CNG,Automatic,Excellent,Family,White
Mahindra Bolero,21.9,21.9,7,MUV,CNG,Manual,Used,Family,Silver
Toyota Innova,19.76,16.7,7,MUV,Diesel,Manual,Excellent,Luxury,Grey
Renault Kiger,20.44,16.8,5,SUV,Hybrid,Manual,Used,Luxury,Blue
Hyundai Verna,13.64,23.7,4,Sedan,Hybrid,Manual,Used,Family,White
Tata Harrier,33.65,14.1,5,SUV,Diesel,Automatic,Excellent,Luxury,Grey
Kia Seltos,29.61,21.2,4,SUV,Diesel,Manual,Excellent,Family,Blue
Kia Sonet,14.45,22.9,4,SUV,CNG,Manual,New,Sporty,Silver
Renault Triber,15.98,20.5,7,MUV,Electric,Automatic,New,Luxury,Blue
Honda Amaze,11.88,14.5,5,Sedan,Hybrid,Manual,Excellent,Family,Red
Hyundai i20,6.73,22.0,5,Hatchback,Petrol,Manual,Used,Family,Red
Honda City,14.86,18.2,4,Sedan,Electric,Manual,New,Luxury,Grey
Toyota Glanza,16.91,18.8,5,Sedan,Petrol,Manual,New,Sporty,Blue
Tata Nexon,27.74,20.7,4,SUV,CNG,Manual,New,Sporty,Red
Toyota Innova,19.47,15.1,7,MUV,CNG,Manual,Excellent,Family,Red
Kia Seltos,27.66,14.8,5,SUV,CNG,Automatic,New,Sporty,Blue
Renault Kiger,25.63,15.2,5,SUV,Hybrid,Manual,Used,Sporty,Red
Honda Jazz,6.05,18.2,4,Hatchback,CNG,Automatic,Used,Luxury,Silver
Toyota Fortuner,20.78,15.6,5,SUV,Petrol,Manual,Used,Luxury,Grey
Toyota Fortuner,21.34,22.2,4,SUV,Diesel,Manual,Excellent,Family,White
Mahindra Bolero,16.87,17.3,7,MUV,Diesel,Automatic,New,Family,Black
Hyundai Creta,17.43,19.3,5,SUV,CNG,Manual,Excellent,Luxury,Silver
Hyundai Creta,22.64,12.8,4,SUV,Hybrid,Manual,New,Family,Silver
Honda Amaze,12.16,17.5,4,Sedan,Petrol,Automatic,Excellent,Family,Grey
Mahindra XUV700,27.68,12.4,5,SUV,Petrol,Manual,New,Sporty,White
Maruti Baleno,6.06,20.9,4,Hatchback,Petrol,Manual,Excellent,Sporty,Red
Hyundai i20,7.79,22.1,5,Hatchback,CNG,Automatic,New,Sporty,Black
Hyundai i20,6.89,23.3,4,Hatchback,Diesel,Automatic,New,Sporty,Red
Renault Triber,25.94,22.7,7,MUV,Electric,Automatic,New,Luxury,White
Hyundai Venue,12.89,21.9,4,SUV,Petrol,Manual,New,Luxury,Grey
Hyundai Venue,14.76,23.4,5,SUV,Petrol,Manual,New,Family,Red
Tata Altroz,6.54,19.3,5,Hatchback,Diesel,Manual,Excellent,Family,Blue
Tata Harrier,17.21,14.8,5,SUV,Diesel,Automatic,Used,Family,Red
Honda Jazz,7.9,13.1,4,Hatchback,CNG,Manual,Excellent,Family,Red
Hyundai i20,4.85,21.2,4,Hatchback,Petrol,Automatic,Used,Sporty,Silver
Honda Jazz,7.08,16.3,5,Hatchback,Hybrid,Manual,Excellent,Family,Silver
Hyundai Verna,13.42,22.4,5,Sedan,Electric,Manual,Used,Sporty,Red
Renault Kiger,13.38,13.5,4,SUV,CNG,Automatic,Excellent,Family,Black
Tata Nexon,20.25,14.5,4,SUV,Diesel,Automatic,Excellent,Luxury,Black
Toyota Glanza,29.37,16.3,5,MUV,CNG,Manual,Used,Family,Grey
Tata Nexon,29.57,14.0,4,SUV,Electric,Automatic,Excellent,Family,Blue
Hyundai Creta,16.8,20.4,5,SUV,Petrol,Manual,Excellent,Family,Red
Renault Kiger,25.73,13.7,4,SUV,Petrol,Automatic,Excellent,Sporty,Red
Renault Kiger,26.83,17.9,5,SUV,Hybrid,Manual,Used,Family,Grey
Toyota Fortuner,12.33,16.8,4,SUV,Electric,Manual,Excellent,Sporty,Grey
Renault Kiger,30.06,20.0,5,SUV,CNG,Automatic,Excellent,Luxury,Black
Hyundai Verna,9.2,20.1,4,Sedan,Diesel,Automatic,New,Sporty,White
Hyundai Creta,25.72,13.3,4,SUV,CNG,Automatic,New,Luxury,Grey
Toyota Innova,15.76,23.8,7,MUV,CNG,Automatic,Excellent,Luxury,Red
Toyota Innova,21.91,23.4,7,MUV,Hybrid,Automatic,Excellent,Sporty,Blue
Hyundai Verna,9.49,13.7,5,Sedan,Hybrid,Manual,Used,Sporty,White
Renault Triber,17.45,19.3,7,MUV,Electric,Manual,New,Luxury,Grey
Kia Sonet,9.69,13.1,5,Hatchback,CNG,Manual,Excellent,Family,Blue
Mahindra Scorpio,20.87,18.1,4,SUV,Diesel,Manual,Excellent,Sporty,Blue
Hyundai Verna,11.91,12.9,4,Sedan,CNG,Automatic,Excellent,Family,Grey
Tata Harrier,17.24,18.8,4,SUV,Hybrid,Automatic,Excellent,Sporty,Silver
Honda Jazz,5.35,13.2,4,Hatchback,Diesel,Manual,New,Family,Blue
Renault Triber,24.93,20.6,7,MUV,Hybrid,Automatic,Excellent,Luxury,Grey
Tata Nexon,31.57,13.6,4,SUV,Petrol,Manual,Excellent,Sporty,Grey
Renault Triber,14.27,16.7,7,MUV,Petrol,Automatic,Used,Luxury,Black
Honda City,14.16,17.3,4,Sedan,Petrol,Manual,Used,Sporty,Blue
Kia Sonet,24.83,12.3,4,SUV,Diesel,Automatic,Used,Family,Silver
Renault Triber,11.68,21.5,7,MUV,Petrol,Manual,New,Family,Blue
Mahindra XUV700,25.34,22.6,4,SUV,Electric,Automatic,Used,Sporty,Blue
Honda City,15.17,13.2,5,Sedan,CNG,Manual,Used,Luxury,Silver
Maruti Swift,7.37,17.4,4,Hatchback,Petrol,Automatic,New,Sporty,Red
Tata Altroz,7.11,17.2,5,Hatchback,Electric,Automatic,New,Sporty,Red
Mahindra Bolero,13.46,22.3,7,MUV,Electric,Automatic,Excellent,Family,Red
Honda City,12.82,22.7,4,Sedan,Hybrid,Automatic,Excellent,Sporty,Grey
Kia Sonet,7.67,17.7,5,Hatchback,Diesel,Automatic,New,Luxury,Black
Maruti Ertiga,22.53,20.1,7,MUV,Hybrid,Manual,Used,Sporty,Black
Renault Triber,12.46,23.7,7,MUV,Hybrid,Manual,Used,Sporty,Grey
Toyota Innova,10.89,19.1,7,MUV,Hybrid,Automatic,Excellent,Sporty,Red
Tata Harrier,30.46,15.2,4,SUV,CNG,Automatic,New,Luxury,Grey
Renault Kiger,21.86,14.9,4,SUV,Petrol,Automatic,New,Sporty,Black
Renault Kiger,21.36,21.0,4,SUV,Hybrid,Manual,Excellent,Luxury,Silver
Renault Triber,22.31,14.5,7,MUV,Diesel,Automatic,Used,Sporty,Blue
Mahindra Scorpio,10.49,12.9,4,SUV,Diesel,Manual,Excellent,Family,Black
Mahindra XUV700,19.01,23.9,5,SUV,Hybrid,Automatic,New,Sporty,White
Renault Triber,16.72,21.7,7,MUV,Hybrid,Automatic,Excellent,Luxury,Blue
Honda Amaze,9.21,17.5,4,Sedan,Diesel,Automatic,Used,Family,Red
Kia Sonet,8.72,12.1,4,Hatchback,CNG,Manual,Excellent,Family,Red
Mahindra Scorpio,20.54,18.8,5,SUV,Hybrid,Automatic,New,Family,Red
Kia Sonet,13.33,15.3,5,Sedan,Petrol,Manual,New,Sporty,Blue
Renault Triber,18.84,16.1,7,MUV,Hybrid,Manual,New,Sporty,Red
Honda Amaze,13.24,20.1,5,Sedan,Electric,Automatic,Excellent,Sporty,Red
Honda Jazz,7.71,17.4,5,Hatchback,Electric,Automatic,Excellent,Sporty,Black
Maruti Baleno,8.73,23.1,5,Hatchback,Diesel,Manual,Excellent,Luxury,Black
Maruti Swift,9.26,16.7,4,Hatchback,Electric,Automatic,Used,Family,Grey
Tata Punch,25.14,21.0,4,MUV,Petrol,Automatic,Used,Sporty,Grey
Renault Triber,27.79,16.7,7,MUV,Petrol,Manual,Used,Sporty,Red
Toyota Innova,13.66,14.7,7,MUV,Diesel,Manual,Excellent,Sporty,White
Hyundai Venue,21.49,18.2,5,SUV,Diesel,Manual,Excellent,Family,Blue
Toyota Innova,28.86,23.7,7,MUV,Diesel,Automatic,Excellent,Sporty,Black
Toyota Glanza,33.83,22.8,5,SUV,Diesel,Manual,Excellent,Family,White
Hyundai Creta,31.85,23.0,4,SUV,Electric,Manual,Excellent,Family,Red
Tata Altroz,6.97,17.5,5,Hatchback,Hybrid,Manual,Excellent,Sporty,Silver
Kia Seltos,17.2,22.9,5,SUV,Hybrid,Manual,Excellent,Luxury,Grey
Honda Jazz,4.17,23.0,5,Hatchback,CNG,Automatic,Used,Luxury,Grey
Renault Triber,17.41,15.0,7,MUV,Hybrid,Automatic,Excellent,Sporty,Grey
Mahindra XUV700,24.06,16.5,5,SUV,Electric,Automatic,Excellent,Family,White
Tata Punch,12.56,15.3,5,SUV,Petrol,Automatic,Excellent,Luxury,Grey
Mahindra XUV700,34.63,14.3,4,SUV,Diesel,Automatic,Excellent,Family,Red
Renault Triber,18.96,13.1,7,MUV,Diesel,Manual,Excellent,Family,Black
Mahindra Scorpio,22.28,18.3,4,SUV,Diesel,Manual,Excellent,Family,Silver
Hyundai i20,5.09,23.9,4,Hatchback,Petrol,Manual,Used,Sporty,Grey
Kia Seltos,10.83,12.7,4,SUV,Petrol,Manual,Used,Sporty,White
Mahindra Bolero,11.99,18.3,7,MUV,Electric,Manual,Excellent,Family,White
Kia Sonet,28.02,23.0,4,SUV,CNG,Automatic,New,Family,Red
Toyota Fortuner,31.94,19.0,5,SUV,Petrol,Manual,Used,Sporty,Silver
Mahindra XUV700,19.8,21.5,4,SUV,Petrol,Manual,New,Family,Grey
Renault Triber,26.02,18.0,7,MUV,Petrol,Automatic,Excellent,Sporty,Red
Maruti Swift,7.28,16.0,4,Hatchback,Petrol,Manual,Used,Sporty,Black
Honda Amaze,17.89,18.4,4,Sedan,Electric,Manual,Excellent,Luxury,Grey
Renault Triber,28.45,22.4,7,MUV,Petrol,Automatic,New,Luxury,Silver
Renault Kiger,32.81,16.2,5,SUV,CNG,Automatic,New,Family,Black
Honda City,10.79,12.6,4,Sedan,CNG,Manual,Excellent,Sporty,White
Kia Seltos,32.41,12.8,4,SUV,CNG,Automatic,Excellent,Family,Blue
Tata Nexon,14.72,22.4,5,SUV,Electric,Manual,New,Family,Grey
Kia Seltos,26.78,18.9,4,SUV,Hybrid,Manual,Excellent,Family,Red
Toyota Fortuner,12.28,23.0,5,SUV,Petrol,Manual,New,Luxury,Silver
Mahindra Bolero,13.77,16.0,7,MUV,Electric,Manual,New,Luxury,Silver
Tata Harrier,22.11,22.5,5,SUV,Hybrid,Automatic,Used,Sporty,Silver
Renault Triber,10.57,12.6,7,MUV,Petrol,Manual,Used,Sporty,Red
Toyota Innova,25.35,21.2,7,MUV,Electric,Manual,Excellent,Luxury,Blue
Toyota Innova,25.77,19.4,7,MUV,Diesel,Manual,Excellent,Sporty,Red
Honda Amaze,14.17,19.7,5,Sedan,Petrol,Automatic,New,Family,White
Maruti Baleno,4.85,19.7,4,Hatchback,CNG,Manual,Excellent,Luxury,Black
Mahindra Bolero,14.19,20.6,7,MUV,Petrol,Automatic,New,Sporty,Grey
Kia Seltos,29.37,23.7,5,SUV,Hybrid,Manual,Excellent,Luxury,White
Kia Seltos,33.42,12.3,5,SUV,Diesel,Automatic,Excellent,Sporty,Grey
Hyundai Venue,10.28,18.3,4,SUV,Diesel,Automatic,New,Family,Black
Mahindra XUV700,29.26,19.7,4,SUV,CNG,Manual,Used,Family,Red
Mahindra Bolero,13.52,13.8,7,MUV,Petrol,Automatic,Used,Luxury,Red
Kia Seltos,26.94,13.5,4,SUV,CNG,Automatic,New,Family,Silver
Hyundai Creta,23.88,22.5,5,SUV,Electric,Manual,Excellent,Family,Black
Mahindra Bolero,22.2,20.2,7,MUV,CNG,Automatic,Used,Family,Blue
Kia Sonet,5.25,12.1,5,Hatchback,CNG,Manual,New,Luxury,Black
Kia Sonet,10.74,18.5,5,MUV,Hybrid,Automatic,New,Family,Blue
Toyota Innova,13.81,17.2,7,MUV,Petrol,Automatic,Excellent,Family,Red
Tata Punch,14.73,18.9,4,SUV,Diesel,Manual,New,Sporty,White
Mahindra Bolero,10.8,23.3,7,MUV,Diesel,Manual,Excellent,Sporty,Red
